"","q","S","s","v","attack"
"1",0,0.910112359550562,81,89,"targeted"
"2",0.01,0.898876404494382,80,88,"targeted"
"3",0.02,0.887640449438202,79,87,"targeted"
"4",0.03,0.865168539325843,77,86,"targeted"
"5",0.04,0.842696629213483,75,84,"targeted"
"6",0.05,0.808988764044944,72,81,"targeted"
"7",0.06,0.764044943820225,68,77,"targeted"
"8",0.07,0.707865168539326,63,73,"targeted"
"9",0.08,0.550561797752809,49,68,"targeted"
"10",0.09,0.348314606741573,31,63,"targeted"
"11",0.1,0.146067415730337,13,58,"targeted"
"12",0.11,0.101123595505618,9,53,"targeted"
"13",0.12,0.0561797752808989,5,48,"targeted"
"14",0.13,0.0337078651685393,3,43,"targeted"
"15",0,0.910112359550562,81,89,"random"
"16",0.01,0.764044943820225,68,79,"random"
"17",0.02,0.662921348314607,59,69,"random"
"18",0.03,0.550561797752809,49,59,"random"
"19",0.04,0.48314606741573,43,49,"random"
"20",0.05,0.325842696629214,29,39,"random"
"21",0.06,0.247191011235955,22,29,"random"
"22",0.07,0.179775280898876,16,19,"random"
